SEASON,TEAM_ID,TEAM_NAME,GP,W,L,WIN_PCT,NET_RATING,OFF_RATING,DEF_RATING,PACE,EFG_PCT,TEAM_ABBREVIATION,CONFERENCE,PRIMARY_COLOR,LOGO_URL
2023-24,1610612748,Miami Heat,82,46,36,0.561,1.8,113.3,111.5,96.88,0.538,MIA,East,#98002E,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
2023-24,1610612758,Sacramento Kings,82,46,36,0.561,1.8,116.2,114.4,99.46,0.556,SAC,West,#5A2D81,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
2023-24,1610612745,Houston Rockets,82,41,41,0.5,0.9,113.7,112.8,99.59,0.529,HOU,West,#CE1141,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
2023-24,1610612747,Los Angeles Lakers,82,47,35,0.573,0.6,115.4,114.8,101.38,0.566,LAL,West,#552583,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
2023-24,1610612741,Chicago Bulls,82,39,43,0.476,-1.7,114.0,115.7,96.94,0.534,CHI,East,#CE1141,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
2023-24,1610612737,Atlanta Hawks,82,36,46,0.439,-2.0,116.4,118.4,100.84,0.539,ATL,East,#E03A3E,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
2023-24,1610612751,Brooklyn Nets,82,32,50,0.39,-2.9,112.4,115.4,97.56,0.531,BKN,East,#000000,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
2023-24,1610612762,Utah Jazz,82,31,51,0.378,-5.1,114.5,119.6,100.26,0.539,UTA,West,#002B5C,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
2023-24,1610612761,Toronto Raptors,82,25,57,0.305,-6.3,111.8,118.1,99.91,0.535,TOR,East,#CE1141,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
2023-24,1610612759,San Antonio Spurs,82,22,60,0.268,-6.4,109.3,115.6,101.8,0.532,SAS,West,#C4CED4,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
2023-24,1610612763,Memphis Grizzlies,82,27,55,0.329,-6.9,106.8,113.7,98.68,0.509,MEM,West,#5D76A9,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
2023-24,1610612764,Washington Wizards,82,15,67,0.183,-8.7,110.2,118.9,103.07,0.538,WAS,East,#002B5C,https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg
2023-24,1610612765,Detroit Pistons,82,14,68,0.171,-9.0,109.0,118.0,100.45,0.526,DET,East,#C8102E,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
2023-24,1610612757,Portland Trail Blazers,82,21,61,0.256,-9.0,107.6,116.6,97.88,0.503,POR,West,#E03A3E,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
2023-24,1610612766,Charlotte Hornets,82,21,61,0.256,-10.6,108.6,119.2,97.81,0.529,CHA,East,#1D1160,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
2024-25,1610612760,Oklahoma City Thunder,82,68,14,0.829,12.7,119.2,106.6,100.9,0.56,OKC,West,#007AC1,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
2024-25,1610612738,Boston Celtics,82,61,21,0.744,9.4,119.5,110.1,96.59,0.561,BOS,East,#007A33,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
2024-25,1610612739,Cleveland Cavaliers,82,64,18,0.78,9.2,121.0,111.8,100.31,0.578,CLE,East,#860038,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
2024-25,1610612750,Minnesota Timberwolves,82,49,33,0.598,5.0,115.7,110.8,97.95,0.554,MIN,West,#0C2340,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
2024-25,1610612746,LA Clippers,82,50,32,0.61,4.9,114.3,109.4,98.24,0.554,LAC,West,#C8102E,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
2024-25,1610612763,Memphis Grizzlies,82,48,34,0.585,4.7,117.2,112.6,103.69,0.554,MEM,West,#5D76A9,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
2024-25,1610612745,Houston Rockets,82,52,30,0.634,4.6,114.9,110.3,99.03,0.523,HOU,West,#CE1141,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
2024-25,1610612752,New York Knicks,82,51,31,0.622,4.0,117.3,113.3,97.64,0.556,NYK,East,#006BB6,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
